ID,COD_INSEE,COD_IRIS
0,92025.0,920250102.0
1,17359.0,173590000.0
2,48156.0,481560000.0
3,82125.0,821250000.0
4,64422.0,644220102.0
5,24540.0,245400000.0
6,62178.0,621780106.0
7,69010.0,690100102.0
8,17043.0,170430000.0
9,17075.0,170750000.0
10,17486.0,174860000.0
11,54395.0,543950604.0
12,37146.0,371460000.0
13,69266.0,692660703.0
14,94022.0,940220101.0
15,49352.0,493520000.0
16,6032.0,60320000.0
17,62438.0,624380000.0
18,26332.0,263320000.0
19,89230.0,892300000.0
20,56023.0,560230000.0
21,75118.0,751186904.0
22,52225.0,522250000.0
23,,
24,13039.0,130390108.0
25,42187.0,421870303.0
26,54505.0,545050000.0
27,80131.0,801310000.0
28,33527.0,335270000.0
29,33240.0,332400000.0
30,78517.0,785170101.0
31,35054.0,350540000.0
32,35188.0,351880103.0
33,87114.0,871140103.0
34,41242.0,412420000.0
35,13216.0,132160301.0
36,42187.0,421870201.0
37,59500.0,595000000.0
38,78545.0,785450105.0
39,62193.0,621931601.0
40,3242.0,32420000.0
41,33063.0,330631204.0
42,29236.0,292360000.0
43,38358.0,383580000.0
44,73006.0,730060000.0
45,57529.0,575290000.0
46,40281.0,402810102.0
47,30123.0,301230000.0
48,36044.0,360440401.0
49,1364.0,13640000.0
50,92024.0,920240403.0
51,66222.0,662220000.0
52,64525.0,645250000.0
53,13064.0,130640000.0
54,1246.0,12460000.0
55,33229.0,332290000.0
56,93051.0,930510103.0
57,34270.0,342700103.0
58,22206.0,222060000.0
59,94067.0,940670106.0
60,51454.0,514542701.0
61,34172.0,341722601.0
62,59378.0,593780301.0
63,38017.0,380170000.0
64,69091.0,690910301.0
65,,
66,26324.0,263240103.0
67,56185.0,561850106.0
68,59544.0,595440105.0
69,75115.0,751155721.0
70,75111.0,751114409.0
71,69382.0,693820101.0
72,66121.0,661210000.0
73,60370.0,603700000.0
74,41018.0,410180102.0
75,59606.0,596060203.0
76,58102.0,581020000.0
77,14728.0,147280000.0
78,85292.0,852920000.0
79,29232.0,292320134.0
80,81064.0,810640000.0
81,78172.0,781720103.0
82,14738.0,147380000.0
83,29101.0,291010000.0
84,59606.0,596060102.0
85,38382.0,383820105.0
86,13086.0,130860102.0
87,63113.0,631130301.0
88,38271.0,382710000.0
89,78172.0,781720109.0
90,92026.0,920260202.0
91,19196.0,191960000.0
92,17118.0,171180000.0
93,75117.0,751176514.0
94,93005.0,930050302.0
95,33540.0,335400000.0
96,42218.0,422180103.0
97,25056.0,250561001.0
98,11018.0,110180000.0
99,35068.0,350680000.0
100,60516.0,605160000.0
101,87114.0,871140102.0
102,59227.0,592270102.0
103,13205.0,132050204.0
104,67105.0,671050000.0
105,31555.0,315554601.0
106,66227.0,662270000.0
107,72181.0,721810501.0
108,31516.0,315160000.0
109,34172.0,341721203.0
110,37179.0,371790000.0
111,40133.0,401330000.0
112,27099.0,270990000.0
113,44032.0,440320000.0
114,67338.0,673380000.0
115,17300.0,173001003.0
116,45144.0,451440000.0
117,31230.0,312300000.0
118,21506.0,215060000.0
119,38085.0,380850103.0
120,6155.0,61550106.0
121,31022.0,310220101.0
122,44109.0,441090808.0
123,17111.0,171110000.0
124,84050.0,840500000.0
125,,
126,78124.0,781240103.0
127,59512.0,595120702.0
128,95625.0,956250000.0
129,69248.0,692480000.0
130,6004.0,60040105.0
131,31188.0,311880000.0
132,83137.0,831370903.0
133,45284.0,452840301.0
134,91226.0,912260000.0
135,28015.0,280150000.0
136,6004.0,60040105.0
137,68169.0,681690000.0
138,80168.0,801680000.0
139,83140.0,831400000.0
140,62318.0,623180103.0
141,75117.0,751176510.0
142,77456.0,774560000.0
143,55551.0,555510000.0
144,17147.0,171470000.0
145,6088.0,60881602.0
146,33063.0,330630605.0
147,91274.0,912740000.0
148,73219.0,732190000.0
149,14578.0,145780000.0
150,88115.0,881150000.0
151,40281.0,402810103.0
